"","subject_ids","num_class","diff_species","choice","propvote","classification_id","Imj1","Imj2","Img3","ForestName","species"
"1",31428287,5,2,"SOMETHINGHERE",0.2,189534455,"03_05_SH_000004.JPG","03_05_SH_000005.JPG","03_05_SH_000006.JPG","SH","SOMETHINGHERE"
"2",31428290,5,3,"SOMETHINGHERE",0.6,188624882,"03_05_SH_000013.JPG","03_05_SH_000014.JPG","03_05_SH_000015.JPG","SH","DEERWHITETAILED, NOTHINGHERE, SOMETHINGHERE, SOMETHINGHERE, SOMETHINGHERE"
"3",31428301,5,2,"SOMETHINGHERE",0.6,187514782,"04_26_WF_000031.JPG","04_26_WF_000032.JPG","04_26_WF_000033.JPG","WF","COYOTE, COYOTE, SOMETHINGHERE, SOMETHINGHERE, SOMETHINGHERE"
"4",31428308,5,2,"DEERWHITETAILED",0.2,189104847,"08_23_DEG_000001.JPG","08_23_DEG_000002.JPG","08_23_DEG_000003.JPG","DEG","DEERWHITETAILED"
"5",31428310,5,3,"NOTHINGHERE",0.6,189354117,"08_23_DEG_000007.JPG","08_23_DEG_000008.JPG","08_23_DEG_000009.JPG","DEG","DEERWHITETAILED, NOTHINGHERE, NOTHINGHERE, NOTHINGHERE, SNOWSHOEHARE"
"6",31428312,5,2,"SNOWSHOEHARE",0.6,189719989,"08_23_DEG_000013.JPG","08_23_DEG_000014.JPG","08_23_DEG_000015.JPG","DEG","COTTONTAILRABBIT, COTTONTAILRABBIT, SNOWSHOEHARE, SNOWSHOEHARE, SNOWSHOEHARE"
"7",31428319,5,2,"SOMETHINGHERE",0.2,190187961,"11_13_BC_000013.JPG","11_13_BC_000014.JPG","11_13_BC_000015.JPG","BC","SOMETHINGHERE"
"8",31428320,5,2,"SQUIRRELGRAY",0.6,187746391,"11_13_BC_000016.JPG","11_13_BC_000017.JPG","11_13_BC_000018.JPG","BC","SOMETHINGHERE, SOMETHINGHERE, SQUIRRELGRAY, SQUIRRELGRAY, SQUIRRELGRAY"
"9",31428323,5,2,"SQUIRRELGRAY",0.6,189387203,"11_13_BC_000025.JPG","11_13_BC_000026.JPG","11_13_BC_000027.JPG","BC","NOTHINGHERE, NOTHINGHERE, SQUIRRELGRAY, SQUIRRELGRAY, SQUIRRELGRAY"
"10",31428324,5,2,"PORCUPINE",0.2,190693674,"11_13_BC_000028.JPG","11_13_BC_000029.JPG","11_13_BC_000030.JPG","BC","PORCUPINE"
"11",31428326,5,2,"NOTHINGHERE",0.2,190509241,"11_13_BC_000034.JPG","11_13_BC_000035.JPG","11_13_BC_000036.JPG","BC","NOTHINGHERE"
