,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Event,Round,Batch
1,./34_21_WF_0001.JPG,34_21_WF_0001.JPG,852 kB,BTC5HDPX,9/29/19 2:44,2000x1125,42.0 mm,Jan-87,2.4,100,Unknown (288),"Auto, Did not fire",1,4,2
3,./34_21_WF_0002.JPG,34_21_WF_0002.JPG,876 kB,BTC5HDPX,9/29/19 2:44,2000x1125,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire",1,4,2
4,./34_21_WF_0003.JPG,34_21_WF_0003.JPG,875 kB,BTC5HDPX,9/29/19 2:44,2000x1125,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire",1,4,2
124,./34_21_WF_0004.JPG,34_21_WF_0004.JPG,867 kB,BTC5HDPX,9/29/19 2:45,2000x1125,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",2,4,2
128,./34_21_WF_0005.JPG,34_21_WF_0005.JPG,824 kB,BTC5HDPX,9/29/19 2:45,2000x1125,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",2,4,2
132,./34_21_WF_0006.JPG,34_21_WF_0006.JPG,867 kB,BTC5HDPX,9/29/19 2:45,2000x1125,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",2,4,2
2,./36_32_WF_0001.JPG,36_32_WF_0001.JPG,818 kB,BTC5HDPX,9/29/19 13:38,2000x1125,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Did not fire",3,4,2
5,./36_32_WF_0002.JPG,36_32_WF_0002.JPG,822 kB,BTC5HDPX,9/29/19 13:38,2000x1125,42.0 mm,Jan-38,2.4,100,Unknown (288),"Auto, Did not fire",3,4,2
9,./36_32_WF_0003.JPG,36_32_WF_0003.JPG,827 kB,BTC5HDPX,9/29/19 13:38,2000x1125,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",3,4,2
22,./36_32_WF_0007.JPG,36_32_WF_0007.JPG,864 kB,BTC5HDPX,9/29/19 13:42,2000x1125,42.0 mm,Jan-87,2.4,100,Unknown (288),"Auto, Did not fire",4,4,2
26,./36_32_WF_0008.JPG,36_32_WF_0008.JPG,846 kB,BTC5HDPX,9/29/19 13:42,2000x1125,42.0 mm,Jan-79,2.4,100,Unknown (288),"Auto, Did not fire",4,4,2
30,./36_32_WF_0009.JPG,36_32_WF_0009.JPG,859 kB,BTC5HDPX,9/29/19 13:42,2000x1125,42.0 mm,Jan-79,2.4,100,Unknown (288),"Auto, Did not fire",4,4,2
12,./34_21_WF_0007.JPG,34_21_WF_0007.JPG,786 kB,BTC5HDPX,9/29/19 16:08,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",5,4,2
13,./34_21_WF_0008.JPG,34_21_WF_0008.JPG,813 kB,BTC5HDPX,9/29/19 16:08,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",5,4,2
15,./34_21_WF_0009.JPG,34_21_WF_0009.JPG,771 kB,BTC5HDPX,9/29/19 16:09,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",5,4,2
16,./34_21_WF_0010.JPG,34_21_WF_0010.JPG,857 kB,BTC5HDPX,9/29/19 21:43,2000x1125,42.0 mm,Jan-50,2.4,100,Unknown (288),"Auto, Did not fire",6,4,2
18,./34_21_WF_0011.JPG,34_21_WF_0011.JPG,863 kB,BTC5HDPX,9/29/19 21:43,2000x1125,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",6,4,2
19,./34_21_WF_0012.JPG,34_21_WF_0012.JPG,864 kB,BTC5HDPX,9/29/19 21:43,2000x1125,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",6,4,2
21,./34_21_WF_0013.JPG,34_21_WF_0013.JPG,852 kB,BTC5HDPX,9/29/19 21:44,2000x1125,42.0 mm,Jan-50,2.4,100,Unknown (288),"Auto, Did not fire",7,4,2
23,./34_21_WF_0014.JPG,34_21_WF_0014.JPG,864 kB,BTC5HDPX,9/29/19 21:44,2000x1125,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",7,4,2
25,./34_21_WF_0015.JPG,34_21_WF_0015.JPG,862 kB,BTC5HDPX,9/29/19 21:44,2000x1125,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",7,4,2
27,./34_21_WF_0016.JPG,34_21_WF_0016.JPG,860 kB,BTC5HDPX,9/29/19 21:46,2000x1125,42.0 mm,Jan-50,2.4,100,Unknown (288),"Auto, Did not fire",8,4,2
29,./34_21_WF_0017.JPG,34_21_WF_0017.JPG,867 kB,BTC5HDPX,9/29/19 21:46,2000x1125,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",8,4,2
31,./34_21_WF_0018.JPG,34_21_WF_0018.JPG,848 kB,BTC5HDPX,9/29/19 21:46,2000x1125,42.0 mm,Jan-38,2.4,100,Unknown (288),"Auto, Did not fire",8,4,2
34,./36_32_WF_0010.JPG,36_32_WF_0010.JPG,866 kB,BTC5HDPX,9/30/19 18:17,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",9,4,2
38,./36_32_WF_0011.JPG,36_32_WF_0011.JPG,867 kB,BTC5HDPX,9/30/19 18:17,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",9,4,2
42,./36_32_WF_0012.JPG,36_32_WF_0012.JPG,866 kB,BTC5HDPX,9/30/19 18:17,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",9,4,2
46,./36_32_WF_0013.JPG,36_32_WF_0013.JPG,832 kB,BTC5HDPX,9/30/19 18:18,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",10,4,2
50,./36_32_WF_0014.JPG,36_32_WF_0014.JPG,873 kB,BTC5HDPX,9/30/19 18:18,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",10,4,2
54,./36_32_WF_0015.JPG,36_32_WF_0015.JPG,839 kB,BTC5HDPX,9/30/19 18:18,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",10,4,2
58,./36_32_WF_0016.JPG,36_32_WF_0016.JPG,773 kB,BTC5HDPX,9/30/19 22:18,2000x1125,42.0 mm,21-Jan,2.4,100,Unknown (288),"Auto, Fired",11,4,2
62,./36_32_WF_0017.JPG,36_32_WF_0017.JPG,801 kB,BTC5HDPX,9/30/19 22:18,2000x1125,42.0 mm,17-Jan,2.4,100,Unknown (288),"Auto, Fired",11,4,2
66,./36_32_WF_0018.JPG,36_32_WF_0018.JPG,774 kB,BTC5HDPX,9/30/19 22:18,2000x1125,42.0 mm,21-Jan,2.4,100,Unknown (288),"Auto, Fired",11,4,2
33,./34_21_WF_0019.JPG,34_21_WF_0019.JPG,797 kB,BTC5HDPX,9/30/19 22:57,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",12,4,2
35,./34_21_WF_0020.JPG,34_21_WF_0020.JPG,777 kB,BTC5HDPX,9/30/19 22:57,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",12,4,2
37,./34_21_WF_0021.JPG,34_21_WF_0021.JPG,778 kB,BTC5HDPX,9/30/19 22:57,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",12,4,2
39,./34_21_WF_0022.JPG,34_21_WF_0022.JPG,798 kB,BTC5HDPX,10/1/19 14:11,2000x1125,42.0 mm,15-Jan,2.4,400,Unknown (288),"Auto, Fired",13,4,2
41,./34_21_WF_0023.JPG,34_21_WF_0023.JPG,788 kB,BTC5HDPX,10/1/19 14:12,2000x1125,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Fired",13,4,2
43,./34_21_WF_0024.JPG,34_21_WF_0024.JPG,789 kB,BTC5HDPX,10/1/19 14:12,2000x1125,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Fired",13,4,2
45,./34_21_WF_0025.JPG,34_21_WF_0025.JPG,875 kB,BTC5HDPX,10/2/19 2:26,2000x1125,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Did not fire",14,4,2
47,./34_21_WF_0026.JPG,34_21_WF_0026.JPG,851 kB,BTC5HDPX,10/2/19 2:27,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",14,4,2
49,./34_21_WF_0027.JPG,34_21_WF_0027.JPG,865 kB,BTC5HDPX,10/2/19 2:27,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",14,4,2
51,./34_21_WF_0028.JPG,34_21_WF_0028.JPG,844 kB,BTC5HDPX,10/2/19 2:39,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",15,4,2
53,./34_21_WF_0029.JPG,34_21_WF_0029.JPG,843 kB,BTC5HDPX,10/2/19 2:39,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",15,4,2
55,./34_21_WF_0030.JPG,34_21_WF_0030.JPG,840 kB,BTC5HDPX,10/2/19 2:40,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",15,4,2
57,./34_21_WF_0031.JPG,34_21_WF_0031.JPG,844 kB,BTC5HDPX,10/2/19 21:58,2000x1125,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",16,4,2
59,./34_21_WF_0032.JPG,34_21_WF_0032.JPG,840 kB,BTC5HDPX,10/2/19 21:58,2000x1125,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire",16,4,2
61,./34_21_WF_0033.JPG,34_21_WF_0033.JPG,872 kB,BTC5HDPX,10/2/19 21:58,2000x1125,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire",16,4,2
69,./34_21_WF_0037.JPG,34_21_WF_0037.JPG,872 kB,BTC5HDPX,10/3/19 1:02,2000x1125,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",17,4,2
71,./34_21_WF_0038.JPG,34_21_WF_0038.JPG,873 kB,BTC5HDPX,10/3/19 1:02,2000x1125,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",17,4,2
73,./34_21_WF_0039.JPG,34_21_WF_0039.JPG,873 kB,BTC5HDPX,10/3/19 1:02,2000x1125,42.0 mm,Jan-76,2.4,100,Unknown (288),"Auto, Did not fire",17,4,2
75,./34_21_WF_0040.JPG,34_21_WF_0040.JPG,848 kB,BTC5HDPX,10/3/19 2:56,2000x1125,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",18,4,2
77,./34_21_WF_0041.JPG,34_21_WF_0041.JPG,874 kB,BTC5HDPX,10/3/19 2:56,2000x1125,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",18,4,2
79,./34_21_WF_0042.JPG,34_21_WF_0042.JPG,871 kB,BTC5HDPX,10/3/19 2:56,2000x1125,42.0 mm,Jan-59,2.4,100,Unknown (288),"Auto, Did not fire",18,4,2
81,./34_21_WF_0043.JPG,34_21_WF_0043.JPG,755 kB,BTC5HDPX,10/3/19 13:23,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",19,4,2
83,./34_21_WF_0044.JPG,34_21_WF_0044.JPG,794 kB,BTC5HDPX,10/3/19 13:23,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",19,4,2
85,./34_21_WF_0045.JPG,34_21_WF_0045.JPG,796 kB,BTC5HDPX,10/3/19 13:23,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",19,4,2
70,./36_32_WF_0019.JPG,36_32_WF_0019.JPG,848 kB,BTC5HDPX,10/3/19 15:07,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",20,4,2
74,./36_32_WF_0020.JPG,36_32_WF_0020.JPG,849 kB,BTC5HDPX,10/3/19 15:07,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",20,4,2
78,./36_32_WF_0021.JPG,36_32_WF_0021.JPG,849 kB,BTC5HDPX,10/3/19 15:07,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",20,4,2
87,./34_21_WF_0046.JPG,34_21_WF_0046.JPG,848 kB,BTC5HDPX,10/4/19 0:36,2000x1125,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Did not fire",21,4,2
89,./34_21_WF_0047.JPG,34_21_WF_0047.JPG,859 kB,BTC5HDPX,10/4/19 0:36,2000x1125,42.0 mm,Jan-43,2.4,100,Unknown (288),"Auto, Did not fire",21,4,2
91,./34_21_WF_0048.JPG,34_21_WF_0048.JPG,852 kB,BTC5HDPX,10/4/19 0:36,2000x1125,42.0 mm,Jan-43,2.4,100,Unknown (288),"Auto, Did not fire",21,4,2
93,./34_21_WF_0049.JPG,34_21_WF_0049.JPG,858 kB,BTC5HDPX,10/4/19 0:39,2000x1125,42.0 mm,Jan-50,2.4,100,Unknown (288),"Auto, Did not fire",22,4,2
95,./34_21_WF_0050.JPG,34_21_WF_0050.JPG,867 kB,BTC5HDPX,10/4/19 0:39,2000x1125,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Did not fire",22,4,2
97,./34_21_WF_0051.JPG,34_21_WF_0051.JPG,867 kB,BTC5HDPX,10/4/19 0:39,2000x1125,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Did not fire",22,4,2
82,./36_32_WF_0022.JPG,36_32_WF_0022.JPG,841 kB,BTC5HDPX,10/4/19 13:59,2000x1125,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Did not fire",23,4,2
86,./36_32_WF_0023.JPG,36_32_WF_0023.JPG,843 kB,BTC5HDPX,10/4/19 13:59,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",23,4,2
90,./36_32_WF_0024.JPG,36_32_WF_0024.JPG,843 kB,BTC5HDPX,10/4/19 13:59,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",23,4,2
94,./36_32_WF_0025.JPG,36_32_WF_0025.JPG,847 kB,BTC5HDPX,10/4/19 14:21,2000x1125,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Did not fire",24,4,2
98,./36_32_WF_0026.JPG,36_32_WF_0026.JPG,845 kB,BTC5HDPX,10/4/19 14:21,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",24,4,2
102,./36_32_WF_0027.JPG,36_32_WF_0027.JPG,845 kB,BTC5HDPX,10/4/19 14:21,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",24,4,2
106,./36_32_WF_0028.JPG,36_32_WF_0028.JPG,790 kB,BTC5HDPX,10/4/19 18:54,2000x1125,42.0 mm,18-Jan,2.4,100,Unknown (288),"Auto, Fired",25,4,2
110,./36_32_WF_0029.JPG,36_32_WF_0029.JPG,790 kB,BTC5HDPX,10/4/19 18:54,2000x1125,42.0 mm,18-Jan,2.4,100,Unknown (288),"Auto, Fired",25,4,2
114,./36_32_WF_0030.JPG,36_32_WF_0030.JPG,808 kB,BTC5HDPX,10/4/19 18:54,2000x1125,42.0 mm,16-Jan,2.4,100,Unknown (288),"Auto, Fired",25,4,2
99,./34_21_WF_0052.JPG,34_21_WF_0052.JPG,832 kB,BTC5HDPX,10/5/19 7:32,2000x1125,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Fired",26,4,2
101,./34_21_WF_0053.JPG,34_21_WF_0053.JPG,819 kB,BTC5HDPX,10/5/19 7:32,2000x1125,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Fired",26,4,2
103,./34_21_WF_0054.JPG,34_21_WF_0054.JPG,877 kB,BTC5HDPX,10/5/19 7:32,2000x1125,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Fired",26,4,2
105,./34_21_WF_0055.JPG,34_21_WF_0055.JPG,832 kB,BTC5HDPX,10/5/19 7:55,2000x1125,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Fired",27,4,2
107,./34_21_WF_0056.JPG,34_21_WF_0056.JPG,876 kB,BTC5HDPX,10/5/19 7:55,2000x1125,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Fired",27,4,2
109,./34_21_WF_0057.JPG,34_21_WF_0057.JPG,876 kB,BTC5HDPX,10/5/19 7:55,2000x1125,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Fired",27,4,2
118,./36_32_WF_0031.JPG,36_32_WF_0031.JPG,867 kB,BTC5HDPX,10/5/19 11:15,2000x1125,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire",28,4,2
122,./36_32_WF_0032.JPG,36_32_WF_0032.JPG,878 kB,BTC5HDPX,10/5/19 11:15,2000x1125,42.0 mm,Jan-60,2.4,100,Unknown (288),"Auto, Did not fire",28,4,2
126,./36_32_WF_0033.JPG,36_32_WF_0033.JPG,878 kB,BTC5HDPX,10/5/19 11:15,2000x1125,42.0 mm,Jan-60,2.4,100,Unknown (288),"Auto, Did not fire",28,4,2
130,./36_32_WF_0034.JPG,36_32_WF_0034.JPG,864 kB,BTC5HDPX,10/5/19 12:24,2000x1125,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",29,4,2
134,./36_32_WF_0035.JPG,36_32_WF_0035.JPG,876 kB,BTC5HDPX,10/5/19 12:24,2000x1125,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",29,4,2
138,./36_32_WF_0036.JPG,36_32_WF_0036.JPG,876 kB,BTC5HDPX,10/5/19 12:24,2000x1125,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",29,4,2
142,./36_32_WF_0037.JPG,36_32_WF_0037.JPG,855 kB,BTC5HDPX,10/5/19 13:33,2000x1125,42.0 mm,Jan-60,2.4,100,Unknown (288),"Auto, Did not fire",30,4,2
146,./36_32_WF_0038.JPG,36_32_WF_0038.JPG,866 kB,BTC5HDPX,10/5/19 13:33,2000x1125,42.0 mm,Jan-52,2.4,100,Unknown (288),"Auto, Did not fire",30,4,2
150,./36_32_WF_0039.JPG,36_32_WF_0039.JPG,867 kB,BTC5HDPX,10/5/19 13:33,2000x1125,42.0 mm,Jan-52,2.4,100,Unknown (288),"Auto, Did not fire",30,4,2
154,./36_32_WF_0040.JPG,36_32_WF_0040.JPG,854 kB,BTC5HDPX,10/6/19 10:36,2000x1125,42.0 mm,Jan-45,2.4,100,Unknown (288),"Auto, Did not fire",31,4,2
158,./36_32_WF_0041.JPG,36_32_WF_0041.JPG,867 kB,BTC5HDPX,10/6/19 10:36,2000x1125,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Did not fire",31,4,2
162,./36_32_WF_0042.JPG,36_32_WF_0042.JPG,865 kB,BTC5HDPX,10/6/19 10:36,2000x1125,42.0 mm,Jan-38,2.4,100,Unknown (288),"Auto, Did not fire",31,4,2
166,./36_32_WF_0043.JPG,36_32_WF_0043.JPG,861 kB,BTC5HDPX,10/6/19 10:54,2000x1125,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",32,4,2
170,./36_32_WF_0044.JPG,36_32_WF_0044.JPG,867 kB,BTC5HDPX,10/6/19 10:54,2000x1125,42.0 mm,Jan-52,2.4,100,Unknown (288),"Auto, Did not fire",32,4,2
174,./36_32_WF_0045.JPG,36_32_WF_0045.JPG,867 kB,BTC5HDPX,10/6/19 10:54,2000x1125,42.0 mm,Jan-52,2.4,100,Unknown (288),"Auto, Did not fire",32,4,2
111,./34_21_WF_0058.JPG,34_21_WF_0058.JPG,872 kB,BTC5HDPX,10/6/19 21:16,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",33,4,2
113,./34_21_WF_0059.JPG,34_21_WF_0059.JPG,859 kB,BTC5HDPX,10/6/19 21:16,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",33,4,2
115,./34_21_WF_0060.JPG,34_21_WF_0060.JPG,861 kB,BTC5HDPX,10/6/19 21:16,2000x1125,42.0 mm,30-Jan,2.4,100,Unknown (288),"Auto, Did not fire",33,4,2
178,./36_32_WF_0046.JPG,36_32_WF_0046.JPG,858 kB,BTC5HDPX,10/7/19 8:16,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",34,4,2
182,./36_32_WF_0047.JPG,36_32_WF_0047.JPG,860 kB,BTC5HDPX,10/7/19 8:16,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",34,4,2
186,./36_32_WF_0048.JPG,36_32_WF_0048.JPG,860 kB,BTC5HDPX,10/7/19 8:16,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",34,4,2
190,./36_32_WF_0049.JPG,36_32_WF_0049.JPG,863 kB,BTC5HDPX,10/7/19 10:36,2000x1125,42.0 mm,Jan-32,2.4,100,Unknown (288),"Auto, Did not fire",35,4,2
193,./36_32_WF_0050.JPG,36_32_WF_0050.JPG,859 kB,BTC5HDPX,10/7/19 10:36,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",35,4,2
196,./36_32_WF_0051.JPG,36_32_WF_0051.JPG,860 kB,BTC5HDPX,10/7/19 10:36,2000x1125,42.0 mm,30-Jan,2.4,200,Unknown (288),"Auto, Did not fire",35,4,2
199,./36_32_WF_0052.JPG,36_32_WF_0052.JPG,850 kB,BTC5HDPX,10/7/19 12:43,2000x1125,42.0 mm,Jan-50,2.4,100,Unknown (288),"Auto, Did not fire",36,4,2
202,./36_32_WF_0053.JPG,36_32_WF_0053.JPG,865 kB,BTC5HDPX,10/7/19 12:43,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",36,4,2
205,./36_32_WF_0054.JPG,36_32_WF_0054.JPG,865 kB,BTC5HDPX,10/7/19 12:43,2000x1125,42.0 mm,Jan-41,2.4,100,Unknown (288),"Auto, Did not fire",36,4,2
208,./36_32_WF_0055.JPG,36_32_WF_0055.JPG,778 kB,BTC5HDPX,10/8/19 2:45,2000x1125,42.0 mm,17-Jan,2.4,100,Unknown (288),"Auto, Fired",37,4,2
211,./36_32_WF_0056.JPG,36_32_WF_0056.JPG,787 kB,BTC5HDPX,10/8/19 2:45,2000x1125,42.0 mm,17-Jan,2.4,100,Unknown (288),"Auto, Fired",37,4,2
213,./36_32_WF_0057.JPG,36_32_WF_0057.JPG,817 kB,BTC5HDPX,10/8/19 2:45,2000x1125,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Fired",37,4,2
214,./36_32_WF_0058.JPG,36_32_WF_0058.JPG,864 kB,BTC5HDPX,10/8/19 12:08,2000x1125,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire",38,4,2
217,./36_32_WF_0059.JPG,36_32_WF_0059.JPG,875 kB,BTC5HDPX,10/8/19 12:08,2000x1125,42.0 mm,Jan-60,2.4,100,Unknown (288),"Auto, Did not fire",38,4,2
220,./36_32_WF_0060.JPG,36_32_WF_0060.JPG,876 kB,BTC5HDPX,10/8/19 12:08,2000x1125,42.0 mm,Jan-60,2.4,100,Unknown (288),"Auto, Did not fire",38,4,2
223,./36_32_WF_0061.JPG,36_32_WF_0061.JPG,871 kB,BTC5HDPX,10/8/19 12:38,2000x1125,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",39,4,2
226,./36_32_WF_0062.JPG,36_32_WF_0062.JPG,874 kB,BTC5HDPX,10/8/19 12:38,2000x1125,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Did not fire",39,4,2
229,./36_32_WF_0063.JPG,36_32_WF_0063.JPG,874 kB,BTC5HDPX,10/8/19 12:38,2000x1125,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Did not fire",39,4,2
232,./36_32_WF_0064.JPG,36_32_WF_0064.JPG,835 kB,BTC5HDPX,10/8/19 14:01,2000x1125,42.0 mm,1/215,2.4,100,Unknown (288),"Auto, Did not fire",40,4,2
235,./36_32_WF_0065.JPG,36_32_WF_0065.JPG,850 kB,BTC5HDPX,10/8/19 14:01,2000x1125,42.0 mm,1/267,2.4,100,Unknown (288),"Auto, Did not fire",40,4,2
238,./36_32_WF_0066.JPG,36_32_WF_0066.JPG,874 kB,BTC5HDPX,10/8/19 14:01,2000x1125,42.0 mm,1/279,2.4,100,Unknown (288),"Auto, Did not fire",40,4,2
241,./36_32_WF_0067.JPG,36_32_WF_0067.JPG,870 kB,BTC5HDPX,10/8/19 14:24,2000x1125,42.0 mm,1/146,2.4,100,Unknown (288),"Auto, Did not fire",41,4,2
244,./36_32_WF_0068.JPG,36_32_WF_0068.JPG,867 kB,BTC5HDPX,10/8/19 14:24,2000x1125,42.0 mm,1/173,2.4,100,Unknown (288),"Auto, Did not fire",41,4,2
